<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
SGZH;D;20210428;000000;8.1;8.1;7.801;7.968;193813200;1543283700.8
SGZH;D;20210429;000000;8;8;7.88;7.9;83221800;660017517.7
SGZH;D;20210430;000000;7.901;7.965;7.651;7.88;81990900;643659631.6
SGZH;D;20210504;000000;7.88;7.948;7.88;7.91;89185600;705215228.9
SGZH;D;20210505;000000;7.882;8.013;7.882;8;43793000;349100371.3
SGZH;D;20210506;000000;8;8;7.9;8;28732500;229360893.9
SGZH;D;20210507;000000;8;8.02;7.924;8;15066500;120316494.2
SGZH;D;20210510;000000;8.003;8.003;7.947;7.981;10029400;80054032.9
SGZH;D;20210511;000000;7.981;8;7.89;7.994;35602500;283849279.6
SGZH;D;20210512;000000;8;8;7.92;7.965;18815300;150058728.7
SGZH;D;20210513;000000;7.965;7.986;7.91;7.97;26952800;214188425
SGZH;D;20210514;000000;7.97;7.975;7.92;7.951;12328200;98013876.5
SGZH;D;20210517;000000;7.98;7.98;7.918;7.95;12625800;100343085.9
SGZH;D;20210518;000000;7.963;7.98;7.905;7.926;30066100;238996558.6
SGZH;D;20210519;000000;7.96;7.971;7.909;7.95;24439200;193749073.4
SGZH;D;20210520;000000;7.935;8.015;7.6;7.994;56073500;446020901.4
SGZH;D;20210521;000000;7.996;7.996;7.92;7.96;24606500;195796935.7
SGZH;D;20210524;000000;7.921;7.997;7.921;7.99;58127800;463589017.4
SGZH;D;20210525;000000;7.997;7.997;7.935;7.97;25357000;202305091.3
SGZH;D;20210526;000000;7.97;7.98;7.935;7.97;17751900;141301060.9
SGZH;D;20210527;000000;7.97;8;7.935;8;40490300;323122764.1
SGZH;D;20210528;000000;7.99;7.99;7.745;7.8;24166000;190144899.9
SGZH;D;20210531;000000;7.848;7.92;7.806;7.824;8569500;67562726.8
SGZH;D;20210601;000000;7.84;7.906;7.84;7.86;5604700;44171482.8
SGZH;D;20210602;000000;7.879;7.879;7.8;7.8;8139000;63579628.2
SGZH;D;20210603;000000;7.805;7.875;7.72;7.767;7463000;58138122.9
SGZH;D;20210604;000000;7.784;7.796;7.63;7.659;10149600;78009128
SGZH;D;20210607;000000;7.659;7.748;7.6;7.6;8932300;68368342.9
SGZH;D;20210608;000000;7.64;7.718;7.56;7.612;16280700;124091939.6
