TICKER;DATE;PRICE
LKOH;20020108;420.0
LKOH;20020109;426.61
LKOH;20020110;426.0
LKOH;20020111;428.01
LKOH;20020114;418.0
LKOH;20020115;421.9
LKOH;20020116;418.5
LKOH;20020117;439.0
LKOH;20020118;450.0
LKOH;20020121;457.2
LKOH;20020122;474.5
LKOH;20020123;472.5
LKOH;20020124;442.02
LKOH;20020125;426.0
LKOH;20020128;439.0
LKOH;20020129;451.01
LKOH;20020130;428.1
LKOH;20020131;432.0
LKOH;20020201;428.0
LKOH;20020204;427.5
LKOH;20020205;429.95
LKOH;20020206;437.9
LKOH;20020207;443.5
LKOH;20020208;438.7
LKOH;20020211;438.01
LKOH;20020212;445.0
LKOH;20020213;438.5
LKOH;20020214;417.99
LKOH;20020215;405.0
LKOH;20020218;394.3
LKOH;20020219;389.4
LKOH;20020220;383.49
LKOH;20020221;387.52
LKOH;20020222;400.6
LKOH;20020226;391.0
LKOH;20020227;388.5
LKOH;20020228;375.2
LKOH;20020301;393.9
LKOH;20020304;399.4
LKOH;20020305;403.5
LKOH;20020306;404.0
LKOH;20020307;413.45
LKOH;20020311;399.54
LKOH;20020312;397.55
LKOH;20020313;404.5
LKOH;20020314;410.8
LKOH;20020315;420.99
LKOH;20020318;431.3
LKOH;20020319;425.45
LKOH;20020320;417.0
LKOH;20020321;425.5
LKOH;20020322;427.5
LKOH;20020325;414.98
LKOH;20020326;413.2
LKOH;20020327;435.5
LKOH;20020328;456.0
LKOH;20020329;454.5
LKOH;20020401;455.8
LKOH;20020402;450.5
LKOH;20020403;440.0
LKOH;20020404;442.01
LKOH;20020405;449.0
LKOH;20020408;453.0
LKOH;20020409;467.93
LKOH;20020410;480.0
LKOH;20020411;492.0
LKOH;20020412;479.5
LKOH;20020415;503.0
LKOH;20020416;502.0
LKOH;20020417;509.0
LKOH;20020418;529.5
LKOH;20020419;540.0
LKOH;20020422;523.5
LKOH;20020423;528.0
LKOH;20020424;538.5
LKOH;20020425;536.5
LKOH;20020426;561.5
LKOH;20020427;560.38
LKOH;20020429;562.0
LKOH;20020430;556.0
LKOH;20020506;545.01
LKOH;20020507;524.98
LKOH;20020508;544.0
LKOH;20020513;536.99
LKOH;20020514;557.5
LKOH;20020515;555.0
LKOH;20020516;552.0
LKOH;20020517;557.0
LKOH;20020518;564.0
LKOH;20020520;560.32
LKOH;20020521;557.75
LKOH;20020522;544.0
LKOH;20020523;556.98
LKOH;20020524;554.5
LKOH;20020527;581.49
LKOH;20020528;552.21
LKOH;20020529;550.0
LKOH;20020530;540.0
LKOH;20020531;555.0
LKOH;20020603;544.01
LKOH;20020604;542.4
LKOH;20020605;546.05
LKOH;20020606;563.49
LKOH;20020607;556.2
LKOH;20020610;561.28
LKOH;20020611;555.48
LKOH;20020613;550.8
LKOH;20020614;540.01
LKOH;20020617;546.0
LKOH;20020618;536.0
LKOH;20020619;530.0
LKOH;20020620;509.01
LKOH;20020621;522.0
LKOH;20020624;496.9
LKOH;20020625;513.9
LKOH;20020626;494.5
LKOH;20020627;518.0
LKOH;20020628;510.0
LKOH;20020701;519.55
LKOH;20020702;508.17
LKOH;20020703;510.0
LKOH;20020704;521.0
LKOH;20020705;537.25
LKOH;20020708;536.0
LKOH;20020709;539.0
LKOH;20020710;540.0
LKOH;20020711;527.9
LKOH;20020712;521.5
LKOH;20020715;506.0
LKOH;20020716;494.5
LKOH;20020717;512.0
LKOH;20020718;508.9
LKOH;20020719;501.9
LKOH;20020722;477.5
LKOH;20020723;472.98
LKOH;20020724;450.5
LKOH;20020725;446.0
LKOH;20020726;453.4
LKOH;20020729;467.5
LKOH;20020730;457.0
LKOH;20020731;440.0
LKOH;20020801;461.0
LKOH;20020802;455.0
LKOH;20020805;440.0
LKOH;20020806;464.05
LKOH;20020807;477.0
LKOH;20020808;487.0
LKOH;20020809;486.0
LKOH;20020812;484.3
LKOH;20020813;498.0
LKOH;20020814;498.85
LKOH;20020815;496.0
LKOH;20020816;499.0
LKOH;20020819;514.5
LKOH;20020820;514.0
LKOH;20020821;518.0
LKOH;20020822;527.03
LKOH;20020823;519.0
LKOH;20020826;511.55
LKOH;20020827;526.5
LKOH;20020828;522.5
LKOH;20020829;502.5
LKOH;20020830;503.22
LKOH;20020902;497.01
LKOH;20020903;489.0
LKOH;20020904;498.9
LKOH;20020905;489.3
LKOH;20020906;497.6
LKOH;20020909;496.5
LKOH;20020910;514.0
LKOH;20020911;519.75
LKOH;20020912;508.5
LKOH;20020913;491.61
LKOH;20020916;487.0
LKOH;20020917;491.99
LKOH;20020918;480.0
LKOH;20020919;473.0
LKOH;20020920;491.99
LKOH;20020923;491.6
LKOH;20020924;512.0
LKOH;20020925;515.48
LKOH;20020926;515.0
LKOH;20020927;506.0
LKOH;20020930;481.0
LKOH;20021001;494.5
LKOH;20021002;503.51
LKOH;20021003;512.99
LKOH;20021004;511.0
LKOH;20021007;518.0
LKOH;20021008;521.0
LKOH;20021009;515.03
LKOH;20021010;506.99
LKOH;20021011;506.39
LKOH;20021014;501.3
LKOH;20021015;515.0
LKOH;20021016;512.0
LKOH;20021017;521.66
LKOH;20021018;518.0
LKOH;20021021;525.9
LKOH;20021022;513.03
LKOH;20021023;510.0
LKOH;20021024;495.45
LKOH;20021025;496.01
LKOH;20021028;510.85
LKOH;20021029;502.0
LKOH;20021030;515.0
LKOH;20021031;518.1
LKOH;20021101;521.0
LKOH;20021104;526.0
LKOH;20021105;513.0
LKOH;20021106;510.2
LKOH;20021110;510.95
LKOH;20021111;529.5
LKOH;20021112;537.9
LKOH;20021113;530.83
LKOH;20021114;533.45
LKOH;20021115;526.0
LKOH;20021118;531.01
LKOH;20021119;525.5
LKOH;20021120;516.6
LKOH;20021121;541.0
LKOH;20021122;531.9
LKOH;20021125;543.02
LKOH;20021126;527.02
LKOH;20021127;536.8
LKOH;20021128;536.7
LKOH;20021129;530.02
LKOH;20021202;511.0
LKOH;20021203;505.1
LKOH;20021204;505.0
LKOH;20021205;508.0
LKOH;20021206;507.2
LKOH;20021209;505.0
LKOH;20021210;504.1
LKOH;20021211;499.9
LKOH;20021215;490.12
LKOH;20021216;484.98
LKOH;20021217;496.35
LKOH;20021218;485.99
LKOH;20021219;488.0
LKOH;20021220;489.5
LKOH;20021223;489.5
LKOH;20021224;485.25
LKOH;20021225;494.79
LKOH;20021226;491.69
LKOH;20021227;490.5
LKOH;20021230;490.7
LKOH;20021231;490.3
LKOH;20030104;496.5
LKOH;20030105;494.2
LKOH;20030108;472.0
LKOH;20030109;486.5
LKOH;20030110;484.53
LKOH;20030113;482.99
LKOH;20030114;484.7
LKOH;20030115;483.0
LKOH;20030116;479.12
LKOH;20030117;473.0
LKOH;20030120;473.21
LKOH;20030121;453.4
LKOH;20030122;447.0
LKOH;20030123;447.5
LKOH;20030124;452.5
LKOH;20030127;459.99
LKOH;20030128;462.0
LKOH;20030129;458.9
LKOH;20030130;459.8
LKOH;20030131;450.41
LKOH;20030203;441.5
LKOH;20030204;441.5
LKOH;20030205;440.0
LKOH;20030206;441.89
LKOH;20030207;452.74
LKOH;20030210;459.3
LKOH;20030211;470.5
LKOH;20030212;463.5
LKOH;20030213;461.26
LKOH;20030214;465.49
LKOH;20030217;466.5
LKOH;20030218;468.9
LKOH;20030219;458.0
LKOH;20030220;456.89
LKOH;20030221;460.0
LKOH;20030225;462.1
LKOH;20030226;461.5
LKOH;20030227;463.95
LKOH;20030228;472.5
LKOH;20030303;493.7
LKOH;20030304;489.69
LKOH;20030305;501.1
LKOH;20030306;496.7
LKOH;20030307;487.0
LKOH;20030311;476.8
LKOH;20030312;461.65
LKOH;20030313;463.01
LKOH;20030314;455.8
LKOH;20030317;446.5
LKOH;20030318;433.0
LKOH;20030319;434.5
LKOH;20030320;438.0
LKOH;20030321;443.0
LKOH;20030324;432.0
LKOH;20030325;438.0
LKOH;20030326;437.37
LKOH;20030327;437.5
LKOH;20030328;438.39
LKOH;20030331;431.12
LKOH;20030401;437.65
LKOH;20030402;445.7
LKOH;20030403;434.35
LKOH;20030404;440.0
LKOH;20030407;452.55
LKOH;20030408;459.5
LKOH;20030409;459.7
LKOH;20030410;451.0
LKOH;20030411;451.7
LKOH;20030414;470.0
LKOH;20030415;478.5
LKOH;20030416;479.0
LKOH;20030417;482.99
LKOH;20030418;491.99
LKOH;20030421;510.74
LKOH;20030422;516.0
LKOH;20030423;527.0
LKOH;20030424;504.5
LKOH;20030425;518.0
LKOH;20030428;542.0
LKOH;20030429;540.0
LKOH;20030430;536.1
LKOH;20030505;546.98
LKOH;20030506;539.5
LKOH;20030507;531.0
LKOH;20030508;531.0
LKOH;20030512;543.8
LKOH;20030513;534.0
LKOH;20030514;536.4
LKOH;20030515;537.2
LKOH;20030516;542.0
LKOH;20030519;541.0
LKOH;20030520;528.5
LKOH;20030521;518.0
LKOH;20030522;536.7
