№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (31.08.2015)
1,GAZP,"ПАО ""Газпром"", ао","JSC «GAZPROM», Ordinary shares",23673512900,0.46,0.751316,0.1500000071607089
2,LKOH,"ПАО ""ЛУКОЙЛ"", ао","PJSC «LUKOIL», Ordinary shares",850563255,0.46,1.0,0.1225140223469478
3,SBER,"ПАО Сбербанк, ао","Sberbank, Ordinary shares",21586948000,0.48,1.0,0.0955032081043444
4,SBERP,"ПАО Сбербанк, ап","Sberbank, Preferred shares",1000000000,1.0,1.0,0.0067227790660271
5,MGNT,"ПАО ""Магнит"", ао","PJSC ""Magnit"", Ordinary shares",94561355,0.54,1.0,0.0775457770720125
6,SNGS,"ОАО ""Сургутнефтегаз"", ао","""Surgutneftegas"" OJSC, Ordinary shares",35725994705,0.25,1.0,0.0378952128159935
7,SNGSP,"ОАО ""Сургутнефтегаз"", ап","""Surgutneftegas"" OJSC, Preferred shares",7701998235,0.73,1.0,0.0281019751217271
8,NVTK,"ОАО ""НОВАТЭК"", ао","JSC ""NOVATEK"", Ordinary shares",3036306000,0.27,1.0,0.0642010627096514
9,GMKN,"ПАО ""ГМК ""Норильский никель"", ао","PJSC ""MMC ""NORILSK NICKEL"", Ordinary shares",158245476,0.3,1.0,0.0620748474064982
10,VTBR,"Банк ВТБ (ПАО), ао","JSC VTB Bank, Ordinary shares",12960541337338,0.39,1.0,0.0431485339457328
11,ROSN,"ОАО ""НК ""Роснефть"", ао","Rosneft, Ordinary shares",10598177817,0.12,1.0,0.0385642566194464
12,TATN,"ПАО ""Татнефть"" им. В.Д. Шашина, ао","JSC ""TATNEFT"", Ordinary shares",2178690700,0.32,1.0,0.0278597545060963
13,TATNP,"ПАО ""Татнефть"" им. В.Д. Шашина, ап","JSC ""TATNEFT"", Preferred shares",147508500,1.0,1.0,0.0031753785005488
14,TRNFP,"ОАО ""АК ""Транснефть"", ап","JSC ""Transneft"", Preferred shares",1554875,1.0,1.0,0.0303743376101513
15,MTSS,"ПАО ""МТС"", ао","MTS PJSC, Ordinary shares",2066413562,0.45,1.0,0.0263275156130619
16,URKA,"ПАО ""Уралкалий"", ао","PJSC Uralkali, Ordinary shares",2936015891,0.23,1.0,0.0170429829789237
17,CHMF,"ПАО ""Северсталь"", ао","PAO Severstal, Ordinary shares",837718660,0.21,1.0,0.015783542517538
