№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (31.03.2013),Data Source,Unnamed: 9
1,GAZP,"ОАО Газпром, ао","GAZPROM, Common",23673512900,0.46,0.6855614,0.15,T0,Standard
2,SBER,"ОАО Сбербанк России, ао","Sberbank, Common",21586948000,0.48,0.8205782,0.1398,T0,Standard
3,SBERP,"ОАО Сбербанк России, ап","Sberbank, Pref",1000000000,1.0,0.8205782,0.0102,T0,Standard
4,LKOH,"ОАО Лукойл, ао","ОАО ""LUKOIL"", Common",850563255,0.57,0.9289614,0.142,T0,Standard
5,MGNT,"ОАО Магнит, ао","OJSC ""Magnit"", Common",94561355,0.54,0.9289614,0.0573,T0,
6,SNGS,"ОАО Сургутнефтегаз, ао","Surgutneftegas, Common",35725994705,0.25,0.9289614,0.0338,T0,Standard
7,SNGSP,"ОАО Сургутнефтегаз, ап","Surgutneftegas, Pref",7701998235,0.73,0.9289614,0.0169,T0,Standard
8,URKA,"ОАО Уралкалий, ао","Uralkali, Common",2936015891,0.45,0.9998508,0.0507,T0,Standard
9,ROSN,"ОАО НК Роснефть, ао","Rosneft, Common",10598177817,0.12,1.0,0.0452,T0,Standard
10,NVTK,"ОАО НОВАТЭК, ао","JSC ""NOVATEK"", Common",3036306000,0.27,1.0,0.044,T0,Standard
11,MTSS,"ОАО Мобильные ТелеСистемы, ао","МТS OJSC, Common",2066413562,0.49,1.0,0.0428,T0,Standard
12,VTBR,"ОАО Банк ВТБ, ао","JSC VTB Bank, Common",12960541337338,0.39,1.0,0.0383,T0,Standard
13,GMKN,"ОАО ГМК Норильский Никель, ао","""OJSC ""MMC ""NORILSK NICKEL"", Common",172156822,0.28,1.0,0.0371,T0,Standard
14,RTKM,"ОАО Ростелеком, ао","Rostelecom, Common",2943258269,0.43,1.0,0.0213,T0,Standard
15,RTKMP,"ОАО Ростелеком, ап","Rostelecom, Pref.",242831469,1.0,1.0,0.003,T0,
16,TATN,"ОАО Татнефть, ао","TATNEFT, Common",2178690700,0.32,1.0,0.0212,T0,Standard
