№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (26.02.2021)
1,SBER,"ПАО Сбербанк, ао","Sberbank, Ordinary shares",21586948000,0.48,0.836093,0.1376967643695571
2,SBERP,"ПАО Сбербанк, ап","Sberbank, Preferred shares",1000000000,1.0,0.836093,0.0123032328846314
3,GAZP,"ПАО ""Газпром"", ао","PJSC ""GAZPROM"", Ordinary shares",23673512900,0.5,0.8909861,0.1358857922523536
4,LKOH,"ПАО ""ЛУКОЙЛ"", ао","PJSC ""LUKOIL"", Ordinary shares",692865762,0.55,0.8909861,0.1119867766462506
5,YDEX,"Яндекс Н.В., акции иностранного эмитента","Yandex N.V., Shares of a foreign issuer",320430479,0.97,0.8909861,0.0784902045747202
6,GMKN,"ПАО ""ГМК ""Норильский никель"", ао","PJSC ""MMC ""NORILSK NICKEL"", Ordinary shares",158245476,0.38,0.8909861,0.0736372162057805
7,NVTK,"ПАО ""НОВАТЭК"", ао","JSC ""NOVATEK"", Ordinary shares",3036306000,0.21,1.0,0.047979558034222
8,ROSN,"ПАО ""НК ""Роснефть"", ао","Rosneft, Ordinary shares",10598177817,0.11,1.0,0.0360870770171329
9,POLY,"Полиметалл Интернэшнл плс, акции иностранного эмитента","Polymetal International plc, Shares of a foreign issuer",471818000,0.71,1.0,0.0292611508888498
10,SNGS,"ПАО ""Сургутнефтегаз"", ао","""Surgutneftegas"" PJSC, Ordinary shares",35725994705,0.25,1.0,0.0170777974345619
11,SNGSP,"ПАО ""Сургутнефтегаз"", ап","""Surgutneftegas"" PJSC, Preferred shares",7701998235,0.73,1.0,0.013014265273031
12,T,"ТиСиЭс Груп Холдинг ПиЭлСи, ДР иностранного эмитента на акции (эмитент депозитарных расписок - JPMorgan Chase Bank)","TCS Group Holding PLC, DR (the issuer of depository receipts - JPMorgan Chase Bank)",199305492,0.58,1.0,0.0263183327643474
13,TATN,"ПАО ""Татнефть"" им. В.Д. Шашина, ао","PJSC ""TATNEFT"", Ordinary shares",2178690700,0.32,1.0,0.0215236389864947
14,TATNP,"ПАО ""Татнефть"" им. В.Д. Шашина, ап","PJSC ""TATNEFT"", Preferred shares",147508500,1.0,1.0,0.0042700230537609
15,PLZL,"ПАО ""Полюс"", ао","PJSC Polyus, Ordinary shares",136069400,0.21,1.0,0.0236225162643314
16,MGNT,"ПАО ""Магнит"", ао","PJSC ""Magnit"", Ordinary shares",101911355,0.68,1.0,0.0200749109160836
17,MTSS,"ПАО ""МТС"", ао","MTS PJSC, Ordinary shares",1998381575,0.45,1.0,0.0166734753989481
18,NLMK,"ПАО ""НЛМК"", ао","NLMK, Ordinary shares",5993227240,0.21,1.0,0.016585172250752
19,FIVE,"Икс 5 Ритейл Груп Н.В.и, ДР иностранного эмитента на акции (эмитент ДР — The Bank of New York Mellon Corporation)","X5 Retail Group N.V., DR (Issuer The Bank of New York Mellon Corporation)",271572872,0.41,1.0,0.0161224113501858
20,ALRS,"АК ""АЛРОСА"" (ПАО), ао","PJSC ""ALROSA"", Ordinary shares",7364965630,0.34,1.0,0.0146655167713736
21,CHMF,"ПАО ""Северсталь"", ао","PAO Severstal, Ordinary shares",837718660,0.22,1.0,0.014633811903358
22,MOEX,"ПАО Московская Биржа, ао","Moscow Exchange, Ordinary shares",2276401458,0.63,1.0,0.0145993869515571
23,MAIL,"Мэйл.ру Груп Лимитед, ДР иностранного эмитента","Mail.ru Group Limited, depository receipts of foreign issuer",208582082,0.53,1.0,0.0130919848104414
24,IRAO,"ПАО ""Интер РАО"", ао","PJSC ""Inter RAO"", Ordinary shares",104400000000,0.33,1.0,0.0103522519601883
25,OZON,"Озон Холдингс ПиЭлСи, ДР иностранного эмитента на акции (эмитент ДР - The Bank of New York Mellon)","Ozon Holdings PLC, DR (issuer - The Bank of New York Mellon)",179230154,0.21,1.0,0.0094653590497637
26,PHOR,"ПАО ""ФосАгро"", ао","PJSC ""PhosAgro"", Ordinary shares",129500000,0.25,1.0,0.0077177276537024
27,VTBR,"Банк ВТБ (ПАО), ао","VTB Bank (PJSC), Ordinary shares",12960541337338,0.27,1.0,0.0076169036355644
28,AFKS,"ПАО АФК ""Система"", ао","Sistema PJSFC, Ordinary shares",9650000000,0.33,1.0,0.0065261529718901
29,RTKM,"ПАО ""Ростелеком"", ао","PJSC ""Rostelecom"", Ordinary shares",3282997929,0.29,1.0,0.0060606580196457
30,RUAL,"Юнайтед Компани РУСАЛ Плс, акции иностранного эмитента","United Company RUSAL Plc, Shares of a foreign issuer",15193014862,0.17,1.0,0.005986779246651
31,MAGN,"ПАО ""ММК"", ао","PJSC MMK, Ordinary shares",11174330000,0.16,1.0,0.005711707465234
32,PIKK,"ПАО ""Группа Компаний ПИК"", ао","PIK GROUP, Ordinary shares",660497344,0.18,1.0,0.0054394738971882
33,TRNFP,"ПАО ""Транснефть"", ап","Transneft, Preferred shares",1554875,0.37,1.0,0.0048491416597978
34,DSKY,"ПАО ""Детский мир"", ао","PJSC ""Detsky mir"", Ordinary shares",739000000,0.74,1.0,0.0045669050945235
35,POGR,"Петропавловск ПиЭлСи, акции иностранного эмитента","Petropavlovsk PLC, shares of a foreign issuer",3957270254,0.65,1.0,0.0043800810766252
36,AFLT,"ПАО ""Аэрофлот"", ао","PJSC ""Aeroflot"", Ordinary shares",2444535448,0.41,1.0,0.004104774172868
37,HYDR,"ПАО ""РусГидро"", ао","PJSC ""RusHydro"", Ordinary shares",439288905849,0.19,1.0,0.0038403304597513
38,HHRU,"ХэдХантер Групп ПИЭЛСИ, ДР иностранного эмитента на акции (эмитент ДР - ДжиПиМорган Чейз Банк, Эн.Эй)","HeadHunter Group PLC, DR (issuer - JPMorgan Chase Bank, N.A.)",50317860,0.48,1.0,0.0037263891592328
39,GLTR,"Глобалтранс Инвестмент ПЛС, ДР иностранного эмитента на акции (эмитент ДР - Citibank N.A. (NYC))","Globaltrans Investment PLC, DR (issuer - Citibank N.A. (NYC))",178740916,0.57,1.0,0.0029843344478922
40,FEES,"ПАО ""ФСК ЕЭС"", ао","""FGC UES"", PJSC, Ordinary shares",1274665323063,0.18,1.0,0.0028995150632074
41,CBOM,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"", ао","CREDIT BANK OF MOSCOW, Ordinary shares",29829709866,0.2,1.0,0.0023450390999527
42,LSRG,"ПАО ""Группа ЛСР"", ао","PJSC LSR Group, Ordinary shares",103030215,0.42,1.0,0.0022459942476453
43,RSTI,"ПАО ""Россети"", ао","PJSC ""ROSSETI"", Ordinary shares",198827865141,0.11,1.0,0.0021862961642242
44,QIWI,"КИВИ ПиЭлСи, ДР иностранного эмитента на акции (эмитент ДР — The Bank of New York Mellon Corporation)","QIWI PLC, DR (Issuer The Bank of New York Mellon Corporation)",51487257,0.57,1.0,0.0013931684517248
