№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (29.08.2014)
1,GAZP,"ОАО ""Газпром"", ао","JSC ""GAZPROM"", Ordinary shares",23673512900,0.46,0.6952584,0.15
2,LKOH,"ОАО ""ЛУКОЙЛ"", ао","OAO ""LUKOIL"", Ordinary shares",850563255,0.57,1.0,0.1496
3,SBER,"ОАО ""Сбербанк России"", ао","Sberbank, Ordinary shares",21586948000,0.48,1.0,0.1139
4,SBERP,"ОАО ""Сбербанк России"", ап","Sberbank, Preferred shares",1000000000,1.0,1.0,0.0083
5,MGNT,"ОАО ""Магнит"", ао","OJSC ""Magnit"", Ordinary shares",94561355,0.54,1.0,0.0698
6,SNGS,"ОАО ""Сургутнефтегаз"", ао","""Surgutneftegas"" OJSC, Ordinary shares",35725994705,0.25,1.0,0.0342
7,SNGSP,"ОАО ""Сургутнефтегаз"", ап","""Surgutneftegas"" OJSC, Preferred shares",7701998235,0.73,1.0,0.023
8,GMKN,"ОАО ""ГМК ""Норильский никель"", ао","""OJSC ""MMC ""NORILSK NICKEL"", Ordinary shares",158245476,0.3,1.0,0.0515
9,NVTK,"ОАО ""НОВАТЭК"", ао","JSC ""NOVATEK"", Ordinary shares",3036306000,0.27,1.0,0.0453
10,ROSN,"ОАО ""НК ""Роснефть"", ао","Rosneft, Ordinary shares",10598177817,0.12,1.0,0.0432
11,MTSS,"ОАО ""МТС"", ао","MTS OJSC, Ordinary shares",2066413562,0.49,1.0,0.0429
12,VTBR,"ОАО Банк ВТБ, ао","JSC VTB Bank, Ordinary shares",12960541337338,0.39,1.0,0.0291
13,TATN,"ОАО ""Татнефть"" им. В.Д. Шашина, ао","JSC ""TATNEFT"", Ordinary shares",2178690700,0.32,1.0,0.0239
14,TATNP,"ОАО ""Татнефть"" им. В.Д. Шашина, ап","JSC ""TATNEFT"", Preferred shares",147508500,1.0,1.0,0.0031
15,AFKS,"ОАО АФК ""Система"", ао","Sistema JSFC, Ordinary shares",9650000000,0.36,1.0,0.0197
16,TRNFP,"ОАО ""АК ""Транснефть"", ап","JSC ""Transneft"", Preferred shares",1554875,1.0,1.0,0.019
17,MFON,"ОАО ""МегаФон"", ао","OJSC ""MegaFon"", Ordinary shares",620000000,0.15,1.0,0.0144
