№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (30.08.2013)
1,GAZP,"ОАО Газпром, ао","GAZPROM, Ordinary shares",23673512900,0.46,0.6748699,0.15
2,SBER,"ОАО Сбербанк России, ао","Sberbank, Ordinary shares",21586948000,0.48,0.9656156,0.1381
3,SBERP,"ОАО Сбербанк России, ап","Sberbank, Preferred shares",1000000000,1.0,0.9656156,0.0104
4,LKOH,"ОАО Лукойл, ао","ОАО ""LUKOIL"", Ordinary shares",850563255,0.57,0.9656156,0.1407
5,MGNT,"ОАО Магнит, ао","OJSC ""Magnit"", Ordinary shares",94561355,0.54,0.9656156,0.0569
6,SNGS,"ОАО Сургутнефтегаз, ао","Surgutneftegas, Ordinary shares",35725994705,0.25,0.9656156,0.035
7,SNGSP,"ОАО Сургутнефтегаз, ап","Surgutneftegas, Preferred shares",7701998235,0.73,0.9656156,0.0189
8,ROSN,"ОАО НК Роснефть, ао","Rosneft, Ordinary shares",10598177817,0.12,1.0,0.0488
9,NVTK,"ОАО НОВАТЭК, ао","JSC ""NOVATEK"", Ordinary shares",3036306000,0.27,1.0,0.046
10,MTSS,"ОАО Мобильные ТелеСистемы, ао","МТS OJSC, Ordinary shares",2066413562,0.49,1.0,0.0454
11,VTBR,"ОАО Банк ВТБ, ао","JSC VTB Bank, Ordinary shares",12960541337338,0.39,1.0,0.0352
12,GMKN,"ОАО ГМК Норильский Никель, ао","""OJSC ""MMC ""NORILSK NICKEL"", Ordinary shares",158245476,0.3,1.0,0.0323
13,URKA,"ОАО Уралкалий, ао","Uralkali, Ordinary shares",2936015891,0.42,1.0,0.03
14,TATN,"ОАО Татнефть, ао","TATNEFT, Ordinary shares",2178690700,0.32,1.0,0.0225
15,TATNP,"ОАО Татнефть им.В.Д.Шашина, ап","TATNEFT, Preferred shares.",147508500,1.0,1.0,0.0024
16,RTKM,"ОАО Ростелеком, ао","Rostelecom, Ordinary shares",2943258269,0.4,1.0,0.019
17,RTKMP,"ОАО Ростелеком, ап","Rostelecom, Preferred shares.",242831469,0.87,1.0,0.0024
18,TRNFP,"ОАО АК Транснефть, ап","Transneft, Preferred shares",1554875,1.0,1.0,0.0185
19,AFKS,"ОАО АФК Система, ао","AFK SISTEMA, Ordinary shares",9650000000,0.36,1.0,0.0163
20,MFON,"ОАО ""МегаФон"", ао","Megafon, Ordinary shares",620000000,0.15,1.0,0.0162
21,BANE,"ОАО Башнефть, ао","OAO ANK ""Bashneft'"", Ordinary shares",188710587,0.12,1.0,0.0068
22,BANEP,"ОАО Башнефть, ап","OAO ANK ""Bashneft'"", Preferred shares",38673878,1.0,1.0,0.0073
23,POLY,Полиметалл Интернэшнл плс,"Polymetal International plc, Ordinary shares",389472865,0.5,1.0,0.0118
24,HYDR,"ОАО РусГидро, ао","JSC ""RusHydro"", Ordinary shares",317637520094,0.34,1.0,0.0091
25,CHMF,"ОАО Северсталь, ао","Severstal, Ordinary shares",837718660,0.21,1.0,0.0075
