№,Code,Security name (rus),Security name (eng),Number of issued shares,Free-float factor,Restricting coefficient,Weight (29.11.2013)
31,TRMK,"ОАО Трубная металлургическая компания, ао","Trubnaya Metallurgicheskaya Kompaniya, Ordinary shares",937586094,0.28,1.0,0.0037
32,PHOR,"ОАО ФосАгро, ао","PhosAgro, Ordinary shares",129500000,0.19,1.0,0.0035
33,FEES,"ОАО ФСК ЕЭС, ао","""FGC UES"", JSC, Ordinary shares",1267141015996,0.21,1.0,0.0032
34,AFLT,"ОАО Аэрофлот, ао","JSC ""AEROFLOT"", Ordinary shares",1110616299,0.32,1.0,0.0032
35,LSRG,"ОАО Группа ЛСР, ао","OJSC LSR Group, Ordinary shares",103030215,0.33,1.0,0.0029
36,PIKK,"ОАО Группа Компаний ПИК, ао","""PIK Group"", Ordinary shares",660497344,0.42,1.0,0.0027
37,DIXY,"ОАО ДИКСИ Групп, ао","DIXY Group, Ordinary shares",124750000,0.33,1.0,0.0026
38,RSTI*,"ОАО Россети, ао","JSC ""Russian Grids""",161078853310,0.14,1.0,0.0023
39,RUALR,"Юнайтед Компани РУСАЛ Плс, рдр","Rusal, RDR",2000000000,0.08,1.0,0.0023
40,IRAO,"ОАО «Интер РАО», ао","JSC ""Inter RAO"" , Ordinary shares",10440000997683,0.18,1.0,0.0022
41,MVID,"ОАО Компания М.видео, ао","OJSC ""Company ""M.video"", Ordinary shares",179768227,0.26,1.0,0.0021
42,MSTT,"ОАО МОСТОТРЕСТ, ао","OAO ""MOSTOTREST"", Ordinary shares",282215500,0.34,1.0,0.002
43,MAGN,"ОАО ММК, ао","OJSC ""MMK"", Ordinary shares",11174330000,0.14,1.0,0.0018
44,MTLR,"ОАО Мечел, ао","Mechel ОАО, Ordinary shares",416270745,0.35,1.0,0.0013
45,MTLRP,"ОАО Мечел, ап","Mechel ОАО, Preferred shares.",138756915,0.6,1.0,0.0004
46,SVAV,"ОАО СОЛЛЕРС, ао","Sollers, Ordinary shares",34270159,0.34,1.0,0.0014
47,NMTP,"ОАО Новороссийский морской торговый порт, ао","PJSC ""NCSP"", Ordinary shares",19259815400,0.15,1.0,0.0013
48,BSPB,"ОАО Банк Санкт-Петербург, ао","""Bank ""Saint-Petersburg"" OJSC, Ordinary shares",439554000,0.41,1.0,0.0012
49,MSRS,"ОАО МОЭСК, ао","MOESK, Ordinary shares",48707091574,0.12,1.0,0.001
50,KMAZ,"ОАО КАМАЗ, ао","KAMAZ, Ordinary shares",707229559,0.15,1.0,0.0007
